start,dur,text
819.32,2.87,proprietary magnetic stripe cards should
821.36,3.51,be advised
822.19,4.72,what is nice here is that it is
824.87,4.68,highlighting the words as they're spoken
826.91,5.369,that way even if you can't read the
829.55,4.89,language well you can follow along and
832.279,5.761,you understand the full context of what
834.44,6.209,you see you can also translate it into
838.04,5.76,your own language
840.649,3.151,like this
847.999,4.62,notice that the translated text is
850.519,5.13,overlaid right on top of the original
852.619,5.55,sign you know it almost feels like the
855.649,5.64,sign was written in your own language to
858.169,5.7,start with and again you can hit listen
861.289,4.95,and hear the words read out loud this
863.869,10.351,time in your own language información
866.239,11.481,para los titulares de la tarjeta what
874.22,6.899,you're seeing here is text speech
877.72,5.649,computer vision the power of translate
881.119,5.49,and twenty years of language
883.369,7.98,understanding from search all coming
886.609,6.87,together now our teams in India have
891.349,4.17,been working with some early testers and
893.479,4.14,getting a lot of feedback to make the
895.519,4.65,product better and I want to now show
897.619,12.42,you how one of them is using it in her
900.169,16.29,daily life take a look if you get any
910.039,9.14,value merit in bikini it's cool man
916.459,2.72,Jatin
919.21,6.09,oh but you go home back receptor
921.96,5.07,ligand telomere watch it see our whole
925.3,7.02,day
927.03,9.14,- Roxanna qualidade will be perolli kako
932.32,6.619,combo bonito kar sakthe
936.17,5.669,Barbican apertium Logan KK mclubbe
938.939,2.9,chorus are patottie
942.199,4.721,would you believe are the same but you
945.779,5.24,go my love
946.92,7.469,barbar captain Eid mclubbe for tool a
951.019,5.74,d-cup swapping by Yumi charka panadol
954.389,3.151,guru Bali though is named for a kazoo
956.759,4.95,nya
957.54,8.82,Oh Jason McLeod report card ow Motoko a
961.709,6.42,greasy Hindi got it we can Musa
966.36,3.959,botticella become a clafouti
968.129,4.231,dirty Gemma club just two days after
970.319,2.671,McCarthy league abroad but you can't
972.36,6.63,delay it
972.99,8.459,Charu cata budget cut off a bidet of
978.99,5.37,just a real Vegas ticket katana the
981.449,5.631,bharatas actio KCK Sarah Newlin Appleton
984.36,8.619,a plasma Baja veteran
987.08,5.899,[Music]
996.77,5.47,thank you Ramallah for testing it and
999.839,6.211,giving us a lot of feedback for the team
1002.24,6.469,to make the product better the power to
1006.05,6.229,read is the power to buy a train ticket
1008.709,7.961,to shop in a store to follow the news
1012.279,6.31,it's the power to get things done so we
1016.67,4.89,want to make this feature accessible to
1018.589,6.23,as many people as possible so it already
1021.56,6.45,works in more than a dozen languages and
1024.819,5.651,the teams worked incredibly hard to
1028.01,11.46,compress all of this tech to just over a
1030.47,14.64,hundred kilobytes that way it can work
1039.47,8.219,on phones that cost as little as $35 so
1045.11,4.59,we're super excited about this and all
1047.689,4.041,the other features across search and
1049.7,4.59,lens to help you throughout the day
1051.73,5.34,you'll start to see these updates roll
1054.29,5.73,out later this month thank you
1057.07,5.14,[Applause]
1060.02,5.289,[Music]
1062.21,3.099,[Applause]
1066,8.26,thanks Aparna helpfulness is also about
1071.049,6.361,saving time and making your day a little
1074.26,6.09,bit easier that's why last year at i/o
1077.41,7.379,we gave you a first look at our duplex
1080.35,6.09,technology duplex enables Google
1084.789,4.441,Assistant to make restaurant
1086.44,6.3,reservations on your behalf by actually
1089.23,6.87,placing a call it's now available in 44
1092.74,6.36,states across the US and we've gotten
1096.1,6.89,great feedback not only from our users
1099.1,6.449,but from businesses as well for us
1102.99,6.52,duplexes to approach by which we train
1105.549,8.191,AI on simple but familiar tasks to
1109.51,5.49,accomplish them and save you time duplex
1113.74,4.11,was launched with restaurant
1115,6.48,reservations on the phone but now we are
1117.85,7.47,moving beyond voice and extending duplex
1121.48,6.809,to tasks on the web we again want to
1125.32,4.8,focus on narrow use cases to start so we
1128.289,5.431,are looking at rental car bookings as
1130.12,6.27,well as movie ticketing today when you
1133.72,5.03,make a new reservation online you have
1136.39,5.399,to navigate a number of pages and steps
1138.75,4.659,filling out information and making
1141.789,3.811,selections along the way I'm sure you're
1143.409,4.801,all familiar with this experience it's
1145.6,4.62,time consuming and if users leave during
1148.21,4.17,the work flow businesses lose out as
1150.22,5.91,well we want to make this experience
1152.38,5.909,better for both users and businesses so
1156.13,4.65,let me show you how the assistant can do
1158.289,5.52,it better say you get a calendar
1160.78,5.009,reminder about an upcoming trip and you
1163.809,4.921,want to book a rental car you can just
1165.789,4.201,ask google book a national car rental
1168.73,3.96,for my next trip
1169.99,6,the assistant opens the national website
1172.69,6.44,and automatically starts filling out
1175.99,7.049,your information on your behalf
1179.13,7.029,including the dates of the trip you can
1183.039,6.181,confirm the details with just a tab and
1186.159,6,then the assistant continues to navigate
1189.22,5.97,the site it even selects which car you
1192.159,5.25,like it's acting on your behalf and
1195.19,4.01,helping you save time but you're always
1197.409,5.001,in control of the flow
1199.2,6.19,let's go ahead and add a car seat and
1202.41,5.74,once all the details are in you can
1205.39,6.06,check everything one last time and just
1208.15,6.29,tap to finalize the reservation you'll
1211.45,5.55,immediately get a booking confirmation
1214.44,6.25,it's amazing to see the assistant
1217,7.2,complete a task online on your behalf in
1220.69,5.43,a personalized way it understands the
1224.2,4.59,dates of your trip and your car
1226.12,5.91,preferences based on trip confirmations
1228.79,5.88,in Gmail I also want to point out that
1232.03,5.28,this was not a custom integration this
1234.67,5.4,required no action on part of the
1237.31,4.92,business to implement what you just saw
1240.07,6.39,is an early preview of what we are
1242.23,6,calling duplex on the web we're going to
1246.46,3.51,be thoughtful and get feedback from both
1248.23,3.69,users and businesses to improve the
1249.97,6.8,experience and we'll have more details
1251.92,4.85,to share later this year
1261.27,4.99,the Google assistant helps people around
1264.49,3.83,the world with all kinds of tasks
1266.26,4.95,whether they are at home or on the go
1268.32,6.04,but we want to build an even more
1271.21,5.64,helpful assistant in order to process
1274.36,5.04,speech today we rely on complex
1276.85,6.36,algorithms it includes multiple machine
1279.4,7.5,learning models one model Maps incoming
1283.21,5.64,sound bites into phonetic units another
1286.9,5.37,one takes and assembles these phonetic
1288.85,5.73,units into words and then a third model
1292.27,5.19,predicts the likelihood of these words
1294.58,4.29,in a sequence they are so complex that
1297.46,4.31,they require hundred gigabytes of
1298.87,5.37,storage and a network connection
1301.77,4.78,bringing these models to your phone
1304.24,4.35,think of it as putting the power of a
1306.55,4.08,googol data center in your pocket
1308.59,5.4,it's an incredibly challenging computer
1310.63,6.299,science problem I'm excited to share we
1313.99,5.34,reached a significant milestone further
1316.929,5.791,advances in deep learning have allowed
1319.33,5.84,us to combine and shrink the hundred
1322.72,5.67,gigabyte models down to half a gigabyte
1325.17,7.72,small enough to bring it on to mobile
1328.39,7.61,devices this eliminates network latency
1332.89,6.69,and makes the assistant so much faster
1336,7.36,so fast that tapping to use your phone
1339.58,5.64,would seem slow I think this is going to
1343.36,5.22,transform the future of the assistant
1345.22,5.43,and I'm thrilled to bring Scott to tell
1348.58,4.57,you more about our next generation
1350.65,3.3,assistant
1353.15,1.35,[Applause]
1353.95,5.44,[Music]
1354.5,7.92,[Applause]
1359.39,5.43,thanks sundar well what if we could
1362.42,5.25,bring the AI that powers the assistant
1364.82,5.01,right onto your phone what if the
1367.67,4.59,assistant was so fast at processing your
1369.83,5.82,voice that tapping to operate your phone
1372.26,5.16,would almost seem slow it opens up many
1375.65,5.13,new use cases and we want to show you
1377.42,5.31,how fast it is now internally we've been
1380.78,4.74,calling this the next-generation
1382.73,5.52,assistant running on device it can
1385.52,5.49,process and understand requests in real
1388.25,6.66,time and deliver the answers up to 10
1391.01,5.97,times faster now Maggie's here and she's
1394.91,3.96,gonna help us test it out starting with
1396.98,4.74,some back-to-back commands to
1398.87,5.13,demonstrate its speed now this demo is
1401.72,4.17,hot off the press so please send your
1404,12.39,positive energy over a neg ease
1405.89,16.529,direction hey Google open calendar open
1416.39,11.85,calculator open photos set a timer for
1422.419,9.961,10 minutes what's the weather today what
1428.24,14.309,about tomorrow show me John Legend on
1432.38,14.85,Twitter get a lift ride to my hotel turn
1442.549,7.161,the flashlight on turn it off take a
1447.23,2.48,selfie
1455.24,11.41,all right now as you could see yeah I've
1463.14,6.33,often Meggie was able to open and
1466.65,4.47,navigate apps instantly now you might
1469.47,3.63,have also noticed that with continued
1471.12,4.44,conversation she was able to make
1473.1,5.97,several requests in a row without having
1475.56,5.1,to say hey Google each time now beyond
1479.07,3.27,an effortless way to operate your phone
1480.66,4.23,you can start to imagine how the
1482.34,5.97,assistant fused into the device could
1484.89,5.13,orchestrate tasks across apps let's look
1488.31,3.99,at another demo where Meg is chatting
1490.02,5.1,with a friend he's gonna ask her about a
1492.3,5.25,recent trip noticed how easy it is for
1495.12,11.34,her to respond with her voice and even
1497.55,12.65,share a photo reply had a great time
1506.46,3.74,with my family and it was so beautiful
1510.83,8.34,show me my photos from Yellowstone the
1516.3,2.87,ones with animals
1521.83,3.38,send it to Justin
1534.7,3.929,now another example is when a friend
1536.619,4.591,asks you a question and you need to look
1538.629,3.75,up the information to respond Justin
1541.21,3.69,wanted to know when Maggie's flight
1542.379,4.311,arrives when's my flight
1544.9,5.33,[Music]
1546.69,3.54,when's my flight
1552.86,4.49,reply I should get in around 1 p.m.
1557.74,5.65,alright so notice how it helped Maggie
1560.32,6.03,multitask more easily across different
1563.39,5.37,apps saving her a lot of back-and-forth
1566.35,4.449,now you can even imagine this next
1568.76,5.009,generation assistant handling more
1570.799,7.651,complex speech scenarios like composing
1573.769,12,and sending an email hey Google send an
1578.45,9.15,email to Jessica hi Jessica I just got
1585.769,5.701,back from Yellowstone and completely
1587.6,8.37,fell in love with it set subject to
1591.47,6.179,Yellowstone adventures let me know if
1595.97,7.309,next weekend works for dinner so I can
1597.649,5.63,tell you all about it send it
1610.85,4.47,now as you can see this required the
1613.279,4.441,assistant to understand when Maggie was
1615.32,4.229,dictating part of the message versus
1617.72,6.47,when she was asking it to complete an
1619.549,4.641,action thanks Maggie thanks Scott
1626.649,5.86,by moving these powerful AI models right
1630.169,4.771,onto your phone we're envisioning a
1632.509,4.861,paradigm shift this next generation
1634.94,4.589,assistant will let you instantly operate
1637.37,5.01,your phone with your voice multitask
1639.529,6.451,across apps and complete complex actions
1642.38,5.46,all with nearly zero latency and actions
1645.98,3.75,like turning on the flashlight opening
1647.84,4.53,Gmail or checking your calendar will
1649.73,4.26,even work offline now it's a very hard
1652.37,4.08,problem we've been solving and I'm
1653.99,5.01,really excited to share the realization
1656.45,5.309,of this vision is not far off in fact
1659,7.17,this next generation assistant is coming
1661.759,7.781,to the new pixel phones later this year
1666.17,5.35,[Applause]
1669.54,4.92,now our missions to make the assistant
1671.52,5.49,the best way to get things done you just
1674.46,4.5,saw how we're making it much faster but
1677.01,4.83,it also has to be personal enough to
1678.96,4.709,really help you now personalize helps
1681.84,4.53,especially important in areas where
1683.669,5.161,people's preferences completely differ
1686.37,4.95,like choosing what to listen to what to
1688.83,4.77,do on the weekend or even what to eat so
1691.32,5.09,let's look at a recipe example hey
1693.6,6.39,google what should I cook for dinner
1696.41,5.86,here are some recipe pics for you now as
1699.99,5.1,you can see the assistant picked recipes
1702.27,4.68,tailored to me for example it suggested
1705.09,3.48,a bourbon chicken recipe because it's
1706.95,4.38,helped me with barbecue recipes in the
1708.57,5.099,past now what I really love is that
1711.33,4.89,different people get completely
1713.669,5.161,different results we call this feature
1716.22,4.26,picks for you and it will be launching
1718.83,4.38,on smart displays later this summer
1720.48,6.03,starting with recipes podcasts and
1723.21,5.099,events now beyond your preferences
1726.51,3.93,becoming more personal means the
1728.309,4.201,assistant will better understand the
1730.44,4.2,people places and events that are
1732.51,3.99,important to you now one important
1734.64,4.409,person in my life is my mom who I'm
1736.5,4.83,gonna visit right after i/o so let's say
1739.049,4.681,I ask my assistant how's the traffic to
1741.33,5.52,mom's house and we all understand what I
1743.73,5.37,mean by mom's house right well if I'm in
1746.85,5.459,Toledo mom's house might have meant this
1749.1,5.4,place a non-profit childcare center in
1752.309,4.651,other cities mom's house can be a
1754.5,4.29,restaurant or a grocery store in fact
1756.96,5.58,there's lots of things in the world
1758.79,5.67,called mom's house now in linguistics
1762.54,4.29,the process is figuring out which thing
1764.46,4.709,a phrase refers to is called reference
1766.83,5.19,resolution and it's fundamental to
1769.169,4.351,understanding human language at Google
1772.02,3.3,we approach this problem using our
1773.52,4.409,knowledge graph of things in the world
1775.32,4.26,and their relationships it's what allows
1777.929,3.231,us to understand something like the
1779.58,4.8,Starbucks near the Golden Gate Bridge
1781.16,5.62,today we're expanding the assistants
1784.38,4.56,ability to understand you better by
1786.78,4.92,applying those same techniques to the
1788.94,5.4,things in your world we call it personal
1791.7,4.92,references so if I shared my mom's
1794.34,4.17,contact info with the assistant I can
1796.62,4.59,ask hey Google what's the weather like
1798.51,3.08,at Mom's house this weekend Friday and
1801.21,3.11,Saturday
1801.59,5.069,carmichael will be partly cloudy how
1804.32,4.68,long will take to get there with light
1806.659,5.041,traffic it will take you 2 hours and 14
1809,4.83,minutes to get to 123 Main Street by car
1811.7,4.589,remind me to order flowers a week before
1813.83,5.4,mom's birthday alright I'll remind you
1816.289,5.25,on July 3rd and it goes beyond mom
1819.23,4.29,if you've shared important people places
1821.539,3.841,and events with the assistant you'll be
1823.52,4.35,able to ask for things more naturally
1825.38,4.74,like show me photos of my son or
1827.87,4.71,directions to the restaurant reservation
1830.12,5.1,or remind me to pick up chocolates on my
1832.58,5.219,anniversary and rest assured you're
1835.22,4.92,always in control you can edit or delete
1837.799,5.901,this information at any time in the
1840.14,5.88,updated you tab in assistant settings
1843.7,4.859,now one place where the assistant can be
1846.02,5.97,especially helpful is in the car
1848.559,5.35,offering a safer hands-free way to get
1851.99,4.169,everything you need while you're on the
1853.909,3.661,road now we've been focused on the main
1856.159,3.211,things that we all want when we're
1857.57,4.079,driving to get where we're going safely
1859.37,3.98,to catch up with friends and to listen
1861.649,3.871,to something interesting along the way
1863.35,4.569,last year we brought the assistant to
1865.52,4.47,Android auto and earlier this year we
1867.919,5.071,added it to navigation in Google Maps
1869.99,6.24,I'm happy to share the assistant is also
1872.99,5.309,coming to ways in the next few weeks now
1876.23,3.66,I'd like to show you the future of how
1878.299,4.321,we're improving your mobile driving
1879.89,5.88,experience even more introducing the
1882.62,5.37,assistance new driving mode just put
1885.77,5.73,your phone in the car and say hey Google
1887.99,5.28,let's drive driving mode has a
1891.5,3.99,thoughtfully designed dashboard that
1893.27,4.2,brings your most relevant activities
1895.49,4.679,front and center while you're driving
1897.47,5.52,and includes suggestions personalized
1900.169,4.74,for you for example if you have a dinner
1902.99,4.23,reservation on your calendar you'll see
1904.909,4.921,a convenient shortcut to navigate to the
1907.22,4.77,restaurant or if you started a podcast
1909.83,4.589,at home in the morning once you get in
1911.99,4.559,your car it'll display a shortcut to
1914.419,4.98,resume the episode right where you left
1916.549,5.281,off now it also highlights top contacts
1919.399,5.071,making easy to call them or message them
1921.83,6.06,and recommendations for other things to
1924.47,5.85,listen to now once your navigating phone
1927.89,4.95,calls and music appear in a low-profile
1930.32,4.469,way so you can get things done without
1932.84,6.4,leaving your navigation screen
1934.789,6.25,hey Google play some jazz sure
1939.24,5.88,check out this jazz music station on
1941.039,6.601,YouTube music now everything is voice
1945.12,3.99,enabled so if a call comes in the
1947.64,4.019,assistant will tell you who's calling
1949.11,6.24,and ask if you want to answer without
1951.659,7.191,having to take your eyes off the road do
1955.35,6.11,you want to pick it up no thanks but
1958.85,5.199,thanks for your help with the demo mom
1961.46,4.719,all right so best of all with the
1964.049,4.411,assistant already on your phone there's
1966.179,4.86,no need to download an app just start
1968.46,5.13,driving driving mode will be available
1971.039,9.571,this summer on any Android phone with
1973.59,9.719,the assistant now today the Google
1980.61,6.12,assistant is available on over 1 billion
1983.309,6.72,devices in over 30 languages across 80
1986.73,5.669,countries and with duplex on the web the
1990.029,4.801,next generation assistant personalized
1992.399,4.621,help and assistant it's in the car we're
1994.83,4.979,continuing to build on our mission to be
1997.02,5.909,the fastest most personal way to help
1999.809,5.011,you get things done now before I go I
2002.929,3.811,want to share a little something that a
2004.82,8.54,lot of you have been asking for check
2006.74,6.62,this out stop
2018.21,6.059,now you can stop your timers and alarms
2020.97,6.299,just by saying stop no hey Google need
2024.269,4.591,it and it's rolling out on smart
2027.269,3.78,displays and Google homes in
2028.86,2.639,english-speaking look house starting
2031.049,1.961,today
2031.499,6.751,thanks very much
2033.01,10.799,[Applause]
2038.25,17.71,[Music]
2043.809,15.261,hey Google open the pod bay doors I
2055.96,3.11,[Music]
2060.089,6.04,found a few restaurants near you
2063.45,10.03,ordering you a grande vanilla latte from
2066.129,18.391,Starbucks this is a cat the forecast is
2073.48,12.75,72 and sunny how do I slice of mango
2084.52,4.23,turn alone to Christmas spirit
2086.23,4.939,begin operation Kevin operation Kevin
2088.75,2.419,underway
2091.59,3.04,show me I make an octopus costume on
2093.91,3.789,YouTube
2094.63,3.069,[Music]
2099.05,7.95,[Applause]
2104.349,5.02,thanks God it's great to see the
2107,5.819,momentum of Google assistant and how its
2109.369,5.581,able to help users get things done so
2112.819,5.01,far we've talked about building a more
2114.95,6.149,helpful Google it's equally important to
2117.829,5.611,us that we do this for everyone for
2121.099,5.7,everyone is a core philosophy for us at
2123.44,6.21,Google that's why from the earliest days
2126.799,5.701,search works the same whether you're a
2129.65,6.51,professor at Stanford or a student in
2132.5,6.329,rural Indonesia it's why we build
2136.16,5.76,affordable laptops for classrooms
2138.829,5.821,everywhere and it's why we care about
2141.92,5.369,the experience on low-cost phones in
2144.65,5.939,countries where users are just starting
2147.289,6.391,to come online with the same passion as
2150.589,5.73,we do with premium phones and it goes
2153.68,4.71,beyond our products and services it's
2156.319,4.53,why we offer free training and tools
2158.39,5.669,through grow at Google helping people
2160.849,6.061,grow their skills find jobs and build
