start,dur,text
419.44,4.879,people seemingly going up in space and
421.52,5.679,rockets almost all the time now
424.319,4.88,olympic gold medals
427.199,4.801,we watched tv
429.199,4.481,and we processed globally
432,4.68,these triumphs
433.68,3,together
436.88,6.4,i made it through my previous breakdown
440,5.84,and struggle with the help and hope
443.28,6.24,of something that i now know
445.84,5.919,to be called tragic optimism
449.52,4.48,it was a phrase coined by victor frankl
451.759,4.641,the famous psychiatrist and holocaust
454,6.56,survivor
456.4,4.16,in his book man's search for meaning
461.28,8,frankel said that tragic optimism
465.12,6.56,is the inevitable search for hope amidst
469.28,5.12,the inevitable tragedies of human
471.68,2.72,existence
474.479,3.921,frankel said that when we have a why to
477.28,5.599,live for
478.4,4.479,we can bear almost any how
483.599,4.481,and this next quote from frankel
486.08,4.88,jumped out at me and i believe it still
488.08,4.559,rings true for all of us
490.96,3.84,today
492.639,4.321,he says when we find
494.8,4.88,that we are when we are no longer able
496.96,7.6,to change our situations
499.68,8.32,we are challenged to change ourselves
504.56,5.039,you see tragedy provides an opportunity
508,4.88,to change
509.599,5.041,something within us to find hope to find
512.88,5.44,meaning
514.64,7.44,and we saw this during 9 11 as well
518.32,5.599,people spontaneously came together
522.08,3.68,to help
523.919,5.04,and to heal
525.76,3.199,and to process
529.12,7.12,this trauma that was so so tragic
533.36,4.64,yes ambiguous loss
536.24,5.2,does lead
538,6.56,to tragic optimism
541.44,6.16,and we can see this all around us
544.56,4.8,over the past two years and even now
547.6,3.28,we see
549.36,4.08,people
550.88,4.639,helping healthcare workers
553.44,4.56,goodwill toward them we see
555.519,3.921,volunteerism on the rise and and
558,2.56,donations
559.44,3.44,also
560.56,6.24,on the rise
562.88,8.959,and what we see is that ambiguous loss
566.8,6.64,organically leads to tragic optimism
571.839,4.481,now there are many of us that are still
573.44,6.56,going through ambiguous loss but there's
576.32,6.24,something else that seems to be brewing
580,3.92,underneath
582.56,4.16,for me
583.92,8.08,it feels like
586.72,7.44,a a brewing of hope and looking forward
592,4.48,to something that's coming that's much
594.16,2.32,better
598.399,3.601,ambiguous loss
600.08,4.4,is a trigger
602,3.6,for tragic optimism and it's a trigger
604.48,4.4,for us
605.6,6.72,to redis reevaluate
608.88,5.76,and it's a trigger to redesign
612.32,3.36,our lives
614.64,2.8,you see
615.68,3.52,victor frankel said
617.44,4.72,that
619.2,4.24,when you know when you have a meaning
622.16,4.08,and purpose
623.44,5.28,you can bear any how he also believed
626.24,4.96,that it was the tragedies in life
628.72,5.679,that pushed us forward and when we find
631.2,7.6,purpose and meaning
634.399,8.081,we find ultimately happiness
638.8,3.68,not the other way around
643.6,4.08,now let me say this
645.44,3.839,that
647.68,5.92,it's no shame
649.279,4.321,in feeling ambiguous loss
653.76,6.48,it's a normal human reaction and we all
657.44,5.92,must process it in our own ways and
660.24,3.12,however we can
664,3.36,but there's no shame in it
667.839,4.401,frankel said
669.519,5.921,that an abnormal reaction
672.24,7.2,to an abnormal situation
675.44,4,is normal behavior
682.8,6.4,from ambiguous loss to tragic optimism
686.56,4.88,now this all doesn't end
689.2,5.28,when the pandemic becomes endemic like
691.44,3.04,we're starting to feel
695.2,4.48,because there will be a next time i
697.68,4.48,guarantee it
699.68,5.04,maybe not the same way that we've gone
702.16,5.84,through this
704.72,6.559,but individually
708,6.72,you will face grief and loss again at
711.279,6.441,some point in your life and remember
714.72,3,this
717.76,5.92,tragic optimism will follow when you're
720.56,4.24,in the throes of that law loss
723.68,4.64,it will
724.8,7.36,it always does
728.32,7.199,it's what drives us
732.16,5.44,it's what keeps us going forward
735.519,3.281,it allows us to work
737.6,2.72,to parent
738.8,3.599,and to live
740.32,5.6,when our lives
742.399,7.44,even if they drastically changed
745.92,3.919,it's what drives us forward
750.639,4.801,to move forward to have a better
753.519,3.841,tomorrow
755.44,4.8,together
757.36,6.84,even if we're not always sure
760.24,3.96,where we're going
